04/12/2021 19:07:17 New Courier Added - id:1, type=Van
04/12/2021 20:58:38 New Courier Added - id:1, type=Cycle
05/12/2021 13:35:52 New Courier Added - id:1, type=Van
05/12/2021 14:28:01 New Courier Added - id:1, type=Van
05/12/2021 14:28:35 New Parcel Added (EH1 2SD, 'dfsdf') Allocated to Courier 0
05/12/2021 14:35:36 New Courier Added - id:1, type=Cycle
05/12/2021 14:35:45 New Courier Added - id:2, type=Van
05/12/2021 14:36:00 New Parcel Added (EH4 3WE, 'Psblo') Allocated to Courier 2
05/12/2021 14:38:14 New Courier Added - id:1, type=Cycle
05/12/2021 14:38:29 New Parcel Added (EH14SR, 'asd') Allocated to Courier 1
05/12/2021 14:41:34 New Courier Added - id:1, type=Van
05/12/2021 14:41:41 New Courier Added - id:2, type=Cycle
05/12/2021 14:41:46 New Courier Added - id:3, type=Van
05/12/2021 14:42:02 New Parcel Added (EH1 3WE, 'ASDF') Allocated to Courier 3
05/12/2021 14:48:29 New Courier Added - id:1, type=Van
05/12/2021 14:49:33 New Courier Added - id:1, type=Walking
05/12/2021 14:49:41 New Courier Added - id:2, type=Cycle
05/12/2021 14:49:53 New Parcel Added (EH1 2SD, 'xcvc') Allocated to Courier 1
05/12/2021 14:54:12 New Courier Added - id:1, type=Walking
05/12/2021 14:54:19 New Courier Added - id:2, type=Van
22/12/2021 20:59:21 New Courier Added - id:2, type=Van
